COD_RIP,COD_REG,COD_PROV,PRO_COM,PRO_COM_T,COMUNE,provincia,elettori maschi,elettori femmine,elettori totale,votanti maschi,votanti femmine,votanti totale,percentuale votanti,numero sezioni,bianche,nulle,contestate
4,16,75,75017,75017,Castri di Lecce,LECCE,1203,1261,2464,884,899,1783,72.36,3,63,41,0
4,16,75,75018,75018,Castrignano de' Greci,LECCE,2176,2217,4393,1126,1143,2269,51.65,5,173,51,0
4,16,75,75019,75019,Castrignano del Capo,LECCE,2863,2946,5809,1328,1294,2622,45.14,6,90,92,0
4,16,75,75020,75020,Cavallino,LECCE,5085,5635,10720,3184,3342,6526,60.88,10,199,204,0
4,16,75,75021,75021,Collepasso,LECCE,2944,3041,5985,1554,1529,3083,51.51,6,148,72,0
4,16,72,72006,72006,Bari,BARI,131882,145363,277245,76238,75841,152079,54.85,346,2408,4284,11
4,16,72,72008,72008,Binetto,BARI,933,919,1852,668,679,1347,72.73,2,57,27,0
4,16,72,72010,72010,Bitetto,BARI,5009,5160,10169,3750,3776,7526,74.01,11,556,252,0
4,16,72,72011,72011,Bitonto,BARI,23140,24238,47378,13397,13016,26413,55.75,51,845,979,0
4,16,72,72012,72012,Bitritto,BARI,5146,5274,10420,2901,2763,5664,54.36,11,120,156,0
4,16,72,72014,72014,Capurso,BARI,6730,7031,13761,4558,4616,9174,66.67,15,601,264,0
4,16,72,72015,72015,Casamassima,BARI,8340,8610,16950,4413,4135,8548,50.43,16,256,188,0
4,16,71,71001,71001,Accadia,FOGGIA,1254,1293,2547,762,844,1606,63.05,3,232,42,0
4,16,72,72016,72016,Cassano delle Murge,BARI,6227,6380,12607,3566,3388,6954,55.16,13,199,249,1
4,16,72,72017,72017,Castellana Grotte,BARI,8796,9408,18204,5365,5398,10763,59.12,18,311,253,0
4,16,72,72018,72018,Cellamare,BARI,2452,2524,4976,1460,1441,2901,58.3,4,75,79,0
4,16,72,72019,72019,Conversano,BARI,11622,11978,23600,8098,7975,16073,68.11,23,1193,370,0
4,16,72,72020,72020,Corato,BARI,21081,22184,43265,14696,15048,29744,68.75,44,2622,652,0
4,16,72,72021,72021,Gioia del Colle,BARI,11536,12291,23827,6724,6692,13416,56.31,25,407,401,0
4,16,71,71002,71002,Alberona,FOGGIA,558,538,1096,240,204,444,40.51,2,18,10,0
4,16,71,71003,71003,Anzano di Puglia,FOGGIA,1177,1155,2332,311,300,611,26.2,2,29,26,0
4,16,71,71004,71004,Apricena,FOGGIA,5879,6044,11923,3416,3368,6784,56.9,15,282,142,0
4,16,71,71005,71005,Ascoli Satriano,FOGGIA,2550,2593,5143,1550,1362,2912,56.62,6,141,126,0
4,16,71,71006,71006,Biccari,FOGGIA,1315,1343,2658,722,677,1399,52.63,3,90,53,4
4,16,72,72022,72022,Giovinazzo,BARI,9115,9647,18762,5226,5207,10433,55.61,23,356,283,0
4,16,72,72023,72023,Gravina in Puglia,BARI,17999,18500,36499,10862,10513,21375,58.56,34,661,673,0
4,16,72,72024,72024,Grumo Appula,BARI,5827,5731,11558,4048,3889,7937,68.67,12,718,271,0
4,16,72,72025,72025,Locorotondo,BARI,6118,6514,12632,4334,4341,8675,68.67,12,807,286,0
4,16,72,72027,72027,Modugno,BARI,15235,16390,31625,11032,11161,22193,70.18,34,1453,595,0
4,16,72,72028,72028,Mola di Bari,BARI,12966,13015,25981,5721,5475,11196,43.09,28,363,234,0
4,16,72,72029,72029,Molfetta,BARI,27303,28924,56227,13478,13658,27136,48.26,60,772,767,2
4,16,71,71007,71007,Bovino,FOGGIA,1968,1883,3851,861,794,1655,42.98,5,89,69,0
4,16,71,71008,71008,Cagnano Varano,FOGGIA,3787,3698,7485,2192,2233,4425,59.12,9,743,197,0
4,16,71,71009,71009,Candela,FOGGIA,1158,1151,2309,813,739,1552,67.22,3,74,59,0
4,16,71,71010,71010,Carapelle,FOGGIA,2293,2404,4697,1399,1293,2692,57.31,5,102,65,0
4,16,71,71011,71011,Carlantino,FOGGIA,662,664,1326,228,230,458,34.54,2,33,11,0
4,16,71,71012,71012,Carpino,FOGGIA,2223,2141,4364,1092,977,2069,47.41,5,51,56,0
4,16,71,71013,71013,Casalnuovo Monterotaro,FOGGIA,807,816,1623,393,337,730,44.98,2,38,14,0
4,16,71,71014,71014,Casalvecchio di Puglia,FOGGIA,959,947,1906,577,564,1141,59.86,2,216,40,0
4,16,72,72030,72030,Monopoli,BARI,21834,22702,44536,11458,10989,22447,50.4,52,630,503,0
4,16,72,72031,72031,Noci,BARI,8408,8942,17350,5160,4974,10134,58.41,17,322,244,0
4,16,72,72032,72032,Noicattaro,BARI,10646,10940,21586,6191,5906,12097,56.04,22,240,241,0
4,16,72,72033,72033,Palo del Colle,BARI,9427,9795,19222,6460,6516,12976,67.51,20,891,387,2
4,16,72,72034,72034,Poggiorsini,BARI,597,591,1188,438,430,868,73.06,2,21,23,0
4,16,72,72035,72035,Polignano a Mare,BARI,8461,8713,17174,4141,3872,8013,46.66,18,244,156,0
4,16,72,72036,72036,Putignano,BARI,12009,12483,24492,7238,7091,14329,58.5,25,574,445,0
4,16,71,71015,71015,Castelluccio dei Sauri,FOGGIA,910,882,1792,509,464,973,54.3,2,54,22,0
4,16,71,71016,71016,Castelluccio Valmaggiore,FOGGIA,844,860,1704,313,336,649,38.09,2,43,14,0
4,16,71,71017,71017,Castelnuovo della Daunia,FOGGIA,813,848,1661,385,344,729,43.89,2,34,27,0
4,16,71,71018,71018,Celenza Valfortore,FOGGIA,869,909,1778,402,358,760,42.74,2,67,18,0
4,16,71,71019,71019,Celle di San Vito,FOGGIA,148,148,296,50,47,97,32.77,1,6,1,0
4,16,72,72037,72037,Rutigliano,BARI,7700,7930,15630,4453,4323,8776,56.15,19,260,157,0
4,16,72,72038,72038,Ruvo di Puglia,BARI,10642,11091,21733,6149,6052,12201,56.14,23,437,353,0
4,16,72,72039,72039,Sammichele di Bari,BARI,3080,3306,6386,1642,1637,3279,51.35,8,92,87,0
4,16,72,72040,72040,Sannicandro di Bari,BARI,5054,4944,9998,2774,2622,5396,53.97,11,119,106,0
4,16,72,72041,72041,Santeramo in Colle,BARI,11882,12046,23928,7229,7145,14374,60.07,23,473,433,0
4,16,72,72043,72043,Terlizzi,BARI,11454,11724,23178,6724,6478,13202,56.96,22,450,588,0
4,16,71,71020,71020,Cerignola,FOGGIA,22227,23544,45771,10452,10068,20520,44.83,50,815,736,1
4,16,71,71021,71021,Chieuti,FOGGIA,940,952,1892,422,409,831,43.92,2,34,22,0
4,16,71,71022,71022,Deliceto,FOGGIA,1775,1829,3604,1050,1004,2054,56.99,5,84,43,0
4,16,71,71023,71023,Faeto,FOGGIA,563,508,1071,159,135,294,27.45,1,14,9,0
4,16,72,72044,72044,Toritto,BARI,3977,3965,7942,2248,2094,4342,54.67,10,102,84,0
4,16,72,72046,72046,Triggiano,BARI,12179,12975,25154,6541,6410,12951,51.49,30,267,334,0
4,16,72,72047,72047,Turi,BARI,6048,6257,12305,3155,2962,6117,49.71,13,152,183,0
4,16,72,72048,72048,Valenzano,BARI,7962,8433,16395,4605,4673,9278,56.59,22,149,227,2
4,16,73,73001,73001,Avetrana,TARANTO,3390,3453,6843,1597,1554,3151,46.05,8,146,103,0
