COD_RIP,COD_REG,COD_PROV,PRO_COM,Comune,provincia,candidato presidente,totale voti presidente,percentuale voti presidente,lista,voti lista,perc lista
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,PARTITO DEMOCRATICO,2310,23.99
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,ITALIA IN COMUNE,1262,13.1
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,PUGLIA SOLIDALE E VERDE,273,2.83
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,SENSO CIVICO - UN NUOVO ULIVO PER LA PUGLIA,229,2.38
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,POPOLARI CON EMILIANO,193,2
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,CON EMILIANO,173,1.8
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,EMILIANO SINDACO DI PUGLIA,148,1.54
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,SINISTRA ALTERNATIVA,16,0.17
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,PARTITO ANIMALISTA,11,0.11
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,PPA - PARTITO PENSIERO E AZIONE,6,0.06
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,PENSIONATI E INVALIDI GIOVANI INSIEME,6,0.06
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,SOCIETA' APERTA ASSOCIAZIONE I LIBERALI,3,0.03
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,PARTITO DEL SUD - MERIDIONALISTI PROGRESSISTI,2,0.02
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,DC PUGLIA,1,0.01
4,16,72,72001,Acquaviva delle Fonti,BARI,EMILIANO,5374,49.73,SUD INDIPENDENTE PUGLIA,1,0.01
4,16,72,72001,Acquaviva delle Fonti,BARI,FITTO,4136,38.27,LA PUGLIA DOMANI,1273,13.22
4,16,72,72001,Acquaviva delle Fonti,BARI,FITTO,4136,38.27,LEGA SALVINI PUGLIA,1049,10.89
4,16,72,72001,Acquaviva delle Fonti,BARI,FITTO,4136,38.27,FRATELLI D'ITALIA,1015,10.54
4,16,72,72001,Acquaviva delle Fonti,BARI,FITTO,4136,38.27,FORZA ITALIA BERLUSCONI PER FITTO,566,5.88
